rarityID,commonName,species,wingspan,size,identiftingMarks,range,description,matingSeason
Uncommon,Barred Becard,Pachyramphus versicolor,Approximately 12.9 cm. (unverified - source might be confused with length),Approximately 10.5 cm to 13 cm in length. (verified),"Approximately 13 cm in length. Males feature a solid black cap, pale lores, and yellow sides of the head with black and white upperparts; the underparts are whitish with dusky barring. Females have a gray cap, a greenish mantle, rufous wings, and yellowish underparts with dusky barring. (verified)","Found in humid montane forests along the Andes, with a disjunct distribution ranging from Costa Rica and western Panama, through the Andes of Colombia, Venezuela, Ecuador, and Peru, into northwestern Bolivia. (verified)","The Barred Becard is a distinctive little becard of Andean forests. The yellow wash to the cheeks recalls the larger Green-backed Becard (Pachyramphus viridis), but P. versicolor is the only becard with narrow black barring below. The male is mostly black above while the female has a distinctive combination of yellow underparts, a gray cap, a green back, and chestnut wings. This species is fairly active and pairs often join mixed-species canopy flocks. The rising, whistled song is delivered intermittently throughout the day. (verified)","Breeding seasons have not been definitively determined, but include May and June in Costa Rica. (verified)"
Common,Cinereous Becard,Pachyramphus rufus,Reported as 13.5 cm in some sources (unverified).,Length of 12-14 cm (verified).,"Males have gray upper- and underparts with a paler throat and lores, and a deep black, shaggy crown. Females are almost entirely rufous-brown with whitish lores and a paler belly region (verified).","It is found in Brazil, Colombia, French Guiana, Guyana, Panama, Peru, Suriname, and Venezuela (verified).","The Cinereous Becard is a member of the Tityridae family with distinct sexual dimorphism. Males are gray with a paler throat and a shaggy black crown, while females are rufous-brown with a paler belly (verified). It is a year-round resident found across northern South America east of the Andes (verified). It has a globe-shaped nest built high in trees and feeds primarily on arthropods and small fruits (verified).",The breeding season is not fully defined but includes June in Venezuela and April to October in Colombia (verified).
Common,Cinnamon Becard,Pachyramphus cinnamomeus,The wing chord length is approximately 77 mm (verified).,Length is approximately 14 to 15 cm (5.5 to 5.9 inches) and weight is 17 to 22 g (verified).,"The species is sexually monomorphic, possessing rufous-brown to cinnamon-rufous plumage. It features a dark iris, a dark gray to blackish bill (often with a paler mandible), and dark gray legs and feet. Some individuals, particularly northern populations, exhibit a pale supercilium and a dusky loral line (verified).","Found from southern Mexico through Central America and into northwestern South America, including parts of Colombia, Venezuela, and Ecuador (verified).","The Cinnamon Becard is a sexually monomorphic bird with largely rufous-brown plumage. It is distinguished from the similar Chestnut-crowned Becard by the absence of prominent gray head sides. The species inhabits forest edges, clearings, and cultivated areas in tropical lowlands from southern Mexico through Central America to northwestern South America. It is generally sedentary (verified).","The breeding season varies by location, including March to July in Costa Rica and potentially January to October in Colombia (verified)."
Common,White-winged Becard,Pachyramphus polychopterus,Approximately 20 to 25 cm. (verified),14 to 15.5 cm (5.5 to 6.1 inches) in length. (verified),"Males have a glossy black to bluish crown and nape, black wings with wide white edges (forming wing bars), and a long black tail with white tips. Females are brownish-olive above with a pale yellowish face, buff-cinnamon wing edges, and pale yellowish underparts with an olive tinge on the breast and sides. Eight subspecies show morphological variation in males. (verified)","Found from Central America (north to Guatemala) across most of South America east of the Andes, including Trinidad and Tobago; absent in Chile. (verified)","The White-winged Becard is a widespread member of the genus Pachyramphus, found across much of Central America and northern South America. It is notable for its sexual dimorphism, with males possessing a glossy black or bluish crown and white-patched wings, while females are olive-brown with buffy underparts. It commonly inhabits forest edges and often associates with mixed-species foraging flocks in the canopy. (verified)","The breeding season varies by latitude: August to April in Costa Rica, March to August in Colombia, March to September in Trinidad, January on Tobago, August and September in Venezuela, and November to February in Argentina. (verified)"
Common,Black-and-white Becard,Pachyramphus albogriseus,"Not explicitly documented in standard sources; however, based on body size (13.2-15 cm), it is a small passerine. (unverified)",13.2 to 15.0 cm (5.2 to 5.9 in) long. (verified),"Adult male: Primarily gray with a bluish-black crown, white supraloral stripe, and broken eye-ring. Wings are mostly black with wide white edges on secondaries/tertials forming wing bars, and a black upper surface of the tail. Female: Dusky olive above and yellowish below, with a chestnut-brown crown bordered by a broad black edge, black post-ocular eye-line, black supercilium, and a pale olive-yellow collar. (verified)",Occurs on the eastern slope of the Andes from southern Peru north to southern Colombia; northeastern Colombia east to northern Venezuela; and an isolated population from western Panama north through Costa Rica. (verified),"The Black-and-white Becard is a widespread member of the genus Pachyramphus, inhabiting humid montane forests from middle elevations to the highlands. It is found on the eastern slope of the Andes of southern Peru north to southern Colombia, then from northeastern Colombia east to northern Venezuela, with an isolated population from western Panama north through Costa Rica. The species is sexually dimorphic; the adult male is primarily gray with a bluish-black crown, while the female is dusky olive above and yellowish below with a chestnut-brown crown. It is often compared to the Cryptic Becard and White-winged Becard due to plumage similarities. Many aspects of its life history remain poorly known. (verified)",The breeding season is not fully defined but includes March through May in parts of Central America. (verified)
Uncommon,Gray-collared Becard,Pachyramphus major,Approximately 25 to 28 cm (10 to 11 inches). (verified),14 to 18 cm (approximately 5.5 to 7 inches) in length. (verified),"Males: principally gray below and over the collar, with a black crown, back, tail, and wings, white fringes to the coverts and flight feathers, white lores. Females: largely warm brown above and on the crown, black eyestripe, pale yellow collar and underparts. (verified)","Found in Mexico, Belize, Guatemala, El Salvador, Honduras, and Nicaragua. (verified)","The Gray-collared Becard ranges across both the Caribbean and Pacific slopes of Mexico into Central America, where it reaches as far south as northern Nicaragua; five subspecies are recognized over this reasonably large range. Males are principally gray below and over the collar, with a black crown, back, tail, and wings, the latter with white fringes to the coverts and flight feathers, and the lores are also white. Females are largely warm brown above and on the crown, with a black eyestripe, and a pale yellow collar and underparts. The species inhabits forested habitats to at least 2500 m, but surprisingly little has been published concerning its ecology and behavior, and the species’ nest was only described for the first time comparatively recently. (verified)","Specific breeding dates are not well-documented in general scientific literature, though the species is known to nest; ecological data remains scarce. (unverified)"
Uncommon,Rose-throated Becard,Pachyramphus aglaiae,The wingspan of the Rose-throated Becard ranges from approximately 10 to 11.8 inches (25–30 cm). (verified),The Rose-throated Becard is approximately 6 to 7 inches (15–18 cm) in length. (verified),"A small, stocky bird with a large head, short neck, and short, thick, slightly hooked bill. Sexually dimorphic. The adult male has a black cap and varies from pale gray (in drier areas) to dark slaty gray (in humid regions); some subspecies have a pink throat patch, while others do not. The female has a dark cap (blackish to rusty brown) and brown upperparts with buffy underparts. The male has a hidden white shoulder patch that it can erect during courtship. (verified)","Found from southeastern Arizona and southern Texas (USA), through Mexico and Central America to southeastern Costa Rica or western Panama. (verified)","For decades, authorities were uncertain whether Rose-throated Becard, along with its closest relatives in the Americas, were cotingids (Cotingidae) or tyrant flycatchers (Tyrannidae). Recent genetic and older morphological evidence agree that becards and their allies share a single, most recent common ancestor among the tyrannoid suboscines and should be in a family of their own. Rose-throated Becard is the only member of the subtropical and tropical family Tityridae that enters the United States as a non-vagrant, where it now occurs irregularly and occasionally breeds in southeastern sections of Arizona and Texas. At the northern edge of its range, it favors wooded riparian habitats dominated by cottonwoods. Elsewhere in its range, which otherwise extends from Mexico to southeastern Costa Rica or western Panama, it is found in a variety of forest types, woodlands, and scrubby second growth in wet and semiarid climates that permit the bird to employ its foliage-sallying, hawking, and fruit-plucking behavior in open or semi-open edge situations. Rose-throated Becards are notable for their bulky, messy, domed nests that are globular or pyriform with an entrance near the bottom. The nests are suspended from the drooping ends of branchlets, often high above the ground. Clutch size varies from three to six eggs. Females alone incubate, but both sexes build nests and feed young. This becard is sexually dimorphic and socially monogamous. The male has a hidden white shoulder patch that it can erect during courtship. He also has a truncated ninth primary as an adult that is functionally mysterious. The species exhibits geographic plumage variation and currently eight subspecies are recognized, two of which reach the United States. Populations of Rose-throated Becard in northern Sonora and the Arizona borderland are migratory, while birds in Texas often occur during winter and the migratory status of that Gulf coastal subspecies is uncertain. (verified)","Most breeding activity occurs from May to July, though it varies by region. In Texas, nest building has been observed as early as February/March, while in Arizona, it has been observed in April and May. (verified)"
Uncommon,One-colored Becard,Pachyramphus homochrous,Approximately 17.5 cm. (unverified),The One-colored Becard is approximately 16.0 cm to 16.5 cm (about 6.5 inches) long and weighs about 35 g to 37 g. (verified),"The species is sexually dimorphic. Males are dark slaty gray overall, becoming slightly paler on the underparts, and sometimes showing a faint pinkish wash on the throat. Females are warm rufous-chestnut on the head, upperparts, and tail, with buff-cinnamon underparts and a whitish cinnamon spot above the lores. (verified)","The species is found in Panama, Colombia, Ecuador, northwestern Peru, and Venezuela. Its distribution is generally considered patchy rather than continuous. (verified)","The One-colored Becard (Pachyramphus homochrous) is a member of the Tityridae family. It is a medium-sized bird found in lowlands and foothills from Panama, through Colombia and Ecuador, to northwestern Peru and Venezuela. The species exhibits sexual dimorphism; males are predominantly dark slaty gray, while females are rufous-chestnut with buff-cinnamon underparts. It is a resident species, typically found in pairs or small groups in humid forest or open woodland. The IUCN classifies it as Least Concern, though it is considered locally distributed rather than continuous. (verified)","Specific information regarding the mating season for this species is not explicitly documented in standard academic databases; however, it is known as a resident species throughout its range. (unverified)"
Uncommon,Jamaican Becard,Pachyramphus niger,The wingspan of the Jamaican Becard is approximately 22 to 26 cm. (verified),The Jamaican Becard is approximately 15 to 18 cm (5.9 to 7.1 inches) in length. (verified),"Adult males are entirely blackish (sometimes appearing slaty gray) with white at the base of the wings visible in flight. Adult females have a deep brown to reddish-brown crown, reddish-brown upperparts, and cinnamon-colored cheeks, throat, and upper breast, with a pale gray lower breast and belly. Both sexes have a large, rounded head, large stout bill, and vertical perching posture. (verified)","Endemic to the island of Jamaica, where it inhabits montane woodlands and makes seasonal elevational movements. (verified)","The only becard in the West Indies, the Jamaican Becard (Pachyramphus niger) is a resident of Jamaica. The male is entirely blackish, while the female is dark brown above with a reddish-brown crown and buffy-to-cinnamon underparts. Both sexes are characterized by a large, rounded head, stout bill, and vertical perching posture. They forage for fruit and insects in the canopy and sub-canopy and are often detected by their distinctive squeaky calls. (verified)",The Jamaican Becard breeds between March and June. (verified)
Uncommon,Sharpbill,Oxyruncus cristatus,18.4 cm (verified),"Approximately 17–18.4 cm in length, weighing about 41.5–42 g. (verified)","Upright posture, chunky build, conical pointed bill, green upperparts, white underparts spotted with black, and a hidden orange-vermilion coronal patch (more obvious in males). (verified)","Costa Rica and western Panama; southeastern Venezuela, the Guianas, and northern/central Brazil; southeastern Brazil, eastern Paraguay, and extreme northeastern Argentina. (verified)","The Sharpbill is a distinctive, chunky passerine bird, often placed in its own family, Oxyruncidae, though sometimes associated with the family Tityridae or Onychorhynchidae. It is characterized by an upright posture, a conical pointed bill used for specialized foraging (e.g., prying into moss, epiphytes, and rolled leaves), green upperparts, and white underparts spotted with black. Males possess a hidden orange-vermilion coronal patch, more prominent during aggressive displays. It is a local, patchily-distributed species primarily found in foothill and montane forests, often traveling in mixed-species flocks. (verified)","The breeding/nesting season varies by location; for instance, in Costa Rica, it extends from late February or March to late May or early June. (verified)"
Uncommon,Royal Flycatcher,Onychorhynchus coronatus,The wingspan is approximately 20 to 23 centimeters (7.9 to 9.1 inches). (verified),The Royal Flycatcher is approximately 12.5 to 18 cm (4.9 to 7.1 inches) in length. (verified),"The Royal Flycatcher has a long bill and tail, mostly brown plumage with a rufous or ochraceous tail, and a long ornate erectile crest (red to orange, paler in females) with black and blue spotting. The crest is usually held recumbent, giving a 'hammerhead' appearance. (verified)","From southern Mexico to northern Bolivia, covering parts of Central and South America. (verified)","The Tropical Royal Flycatcher is a widespread bird found from southern Mexico to northern Bolivia. It inhabits the lower levels of humid evergreen or deciduous forests, mature second growth, and edges. It is known for its long, ornate crest—red to orange with black and blue spotting—which is typically held recumbent, giving it a 'hammerhead' appearance, but flared laterally during displays. The nest is a long, sack-like structure suspended over water or a clearing. (verified)","Breeding occurs primarily during the dry and early wet season. In Costa Rica, nesting spans from February to June, with peak activity in March-April. (verified)"
Common,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,Wing length is approximately 4.7–5.3 cm. (verified),9.0–11.0 cm in length and weighs about 7 grams. (verified),"Small, sits very upright, large bushy head, rufous wings and tail, buffy belly, and grayish head. (verified)","Wide range in the Neotropics, from southern Mexico to Peru and Brazil. (verified)","Widespread and fairly common, Ruddy-tailed Flycatcher inhabits the interior of humid lowland forest. They forage in the mid-story, where they are usually encountered as individuals, though they occasionally join mixed flocks. Even during the breeding season, this species seems not to form pair bonds, and the female apparently attends the nest alone. They often sit motionless for periods of time, then dart out in sallies to pluck insects from the air or foliage. This small flycatcher sits very upright, and has a large head with a bushy appearance. Note also the rufous wings and tail, buffy belly, and grayish head. Their song is a high, two-parted whistle: tew pew. (verified)","Breeding season is documented as March to May in Costa Rica, and February to August in northwestern Colombia. (verified)"
Uncommon,Tawny-breasted Flycatcher,Myiobius villosus,Not officially documented in standard species fact sheets. (unverified),Approximately 12.5 cm (verified),"Sharing the yellow rump and rounded, black tail with other Myiobius flycatchers; it is the largest and darkest species of the genus. The brown coloration on their breast and flanks is distinctive. (verified)","Foothills and subtropical forest on the eastern slope of the Andes from Colombia south to Bolivia, and in the Chocó region of the northwestern Andes in Colombia and Ecuador (as well as easternmost Panama). (verified)","Tawny-breasted Flycatcher inhabits foothills and subtropical forest on the eastern slope of the Andes from Colombia south to Bolivia, and in the Chocó region of the northwestern Andes in Colombia and Ecuador (as well as easternmost Panama). They stay in the undergrowth and at lower levels, especially near water, where they frequently join mixed-species foraging flocks. This flycatcher is a fairly active feeder, flashing its tail and turning abruptly in an almost redstart-like manner. Although similar in appearance to the other Myiobius flycatchers, sharing the yellow rump and rounded, black tail, they are the largest and darkest species of the genus. Furthermore, the Tawny-breasted Flycatcher also occurs at higher elevations than its close relatives. Additionally, the brown coloration on their breast and flanks is distinctive. The call of the Tawny-breasted Flycatcher is an emphatic spikt! (verified)","Insufficient evidence; species breeding season is not well-defined in scientific literature, though it is a resident species. (unverified)"
Common,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,Reported as approximately 13.3 cm (roughly 5.2 inches). Note: This value is low compared to typical passerine ratios for this length and may be an erroneous conversion in the source material; verify further if critical. (needs_review),The species measures approximately 12 cm to 13.3 cm in length. (verified),"Dull olive above, contrasting sulphur yellow rump, dusky wings, black tail, tawny breast, pale yellow belly. Males have a concealed yellow crown patch. (verified)","Found from southern Mexico south to western Colombia and Ecuador, including Belize, Costa Rica, Guatemala, Honduras, Nicaragua, and Panama. (verified)","Sulphur-rumped Flycatcher is a small flycatcher that occurs from southern Mexico south to western Colombia and Ecuador. It generally is dull olive above, with a contrasting sulphur yellow rump, dusky wings, and black tail. The breast is tawny, and the belly is pale yellow. Males also have a yellow patch, usually concealed, on the center of the crown. Sulphur-rumped Flycatcher exhibits the very active foraging style typical of Myiobius: individuals often hop energetically from branch to branch and aerially pursue flying insects. The Sulphur-rumped Flycatcher is rarely seen together, but singles frequently associate with mixed-species flocks. During breeding, the females create extravagant hanging, pear-shaped nests. According to the IUCN Red List, Sulphur-rumped Flycatcher is a species of Least Concern, because it is widely distributed and fairly common. (verified)",Breeding occurs in Costa Rica from January to May and in Colombia from February to May. (verified)
Uncommon,Black-tailed Flycatcher,Myiobius atricaudus,N/A (unverified),Approximately 12.5 cm (5 inches) long. (verified),"A small flycatcher characterized by olive-brown upperparts, a light yellow rump, and a relatively long, dark tail that it often fans out while foraging. It has a light brown breast and a golden-yellow crown patch (better defined in males). The bill is black with yellowish coloring at the base of the mandible. (verified)","Found from southwest Costa Rica south over the Pacific slope of South America to northwest Peru, and east of the Andes, across Amazonia south of the Amazon and south to southeast Brazil. (verified)","The Black-tailed Flycatcher is a relatively distinctive and fairly common flycatcher with a widespread distribution. It inhabits the undergrowth in a variety of forest habitats, including seasonally flooded areas, gallery woodland, and forest edges, occurring up to approximately 1400 m. This species regularly joins mixed-species flocks and occurs alone or in pairs. It constructs a pyriform nest that is bell-shaped, suspended from a branch several meters above the ground. (verified)",N/A (unverified)
Rare,Gray-headed Piprites,Piprites griseiceps,20 to 24 cm (verified),12 to 13 cm (4.7 to 5.1 in) long and weighs about 16 g (0.56 oz). (verified),"Adults have a slate-gray head with a bold white eyering. Their upperparts, wings, and tail are olive-green with yellow-green edges on their flight feathers. Their underparts are yellowish olive, which is lightest on their throat and belly. They have a dark iris, a stout blackish maxilla, a paler mandible, and gray legs and feet. It is considered to have an especially long tail among similar species. (verified)","Lowlands on the Caribbean slope of Central America, including Costa Rica, Guatemala, Honduras, Nicaragua, and Panama. (verified)","An enigmatic species restricted to lowlands on the Caribbean slope of Central America, the Gray-headed Piprites is the least studied of its genus, and the species seems to be very infrequently seen throughout much of its range. It is mainly recorded below 800 m, although there are occasional sightings marginally higher. The Gray-headed Piprites inhabits the understory and middle levels of tall lowland evergreen forest and second growth, but seems to descend lower at gaps and edges. Our cumulative knowledge of this species’ life history is very poor. It is usually seen alone or in pairs (and presumably also in family groups post-breeding, like congenerics). However, like other Piprites it also joins mixed-species feeding flocks, especially those involving small antbirds and greenlets, although several other species have also been recorded in such associations. The Gray-headed Piprites is very similar in plumage to the entirely allopatric Wing-barred Piprites (Piprites chloris) and these two probably form a species-pair. (verified)",Information on specific mating season is not well-documented; the species' overall life history is described as very poorly known. (unverified)
Common,Stub-tailed Spadebill,Platyrinchus cancrominus,"Specific wingspan data is not explicitly provided in primary scientific accounts, although it is a small passerine. (unverified)",Length of approximately 9.5 cm (3.74 in) and weight up to 12 g (0.42 oz). (verified),"Tiny flycatcher with a distinctive stubby tail, a broad flat bill, and pinkish feet. It features a striking facial pattern with yellow postocular stripes, brown upperparts, a white throat, and a yellow breast. Unlike other members of its genus, it lacks a crown. (verified)","Middle America, from southeast Mexico south to northwest Panama, over both the Caribbean and Pacific slopes, up to at least 1500 m. (verified)","The Stub-tailed Spadebill is a member of the tyrant flycatcher family (Tyrannidae) confined to Middle America. It favors the lower strata of humid evergreen forests, sometimes occupying drier forests and gallery woodlands. It is generally found singly or in pairs, occasionally joining mixed-species groups or army ant swarms. It lacks the crest characteristic of other Platyrinchus species. (verified)","Information regarding a specific mating season is not well-documented in major ornithological resources, though it is a year-round resident across its range. (unverified)"
Common,White-throated Spadebill,Platyrinchus mystaceus,Information on specific wingspan is not consistently documented; one source indicates an average wing length of 54.6 mm. (verified),Approximately 3.5 to 4.0 inches (9 to 10 cm) in length. (verified),"Small size (approx. 9-10 cm), large head, very short tail, broad flat bill, dark olive-brown upperparts, white throat, and a concealed yellow crown patch that can be erected as a fan. (verified)","Circum-Amazonian range, extending from Costa Rica through northern Bolivia, Paraguay, northeastern Argentina, and southeastern Brazil, occurring from sea level to over 2150 m. (verified)","The White-throated Spadebill is a small, large-headed bird with a very short tail and a broad, flat bill. It inhabits the undergrowth of humid lowland and montane forests, as well as tall second growth and gallery woodland across a broad circum-Amazonian range. It is often identified by its sharp vocalizations, olive-brown upperparts, white throat, and a concealed yellow crown patch that males erect during courtship. (verified)","The breeding season varies significantly by geographic location, spanning March to May in Costa Rica, May to July in northern Colombia and Trinidad, October to December in southeastern Brazil, September to November in extreme southern Brazil, December in eastern Colombia, June on Tobago, and March in extreme southern Venezuela. (verified)"
Uncommon,Golden-crowned Spadebill,Platyrinchus coronatus,"Not documented in reliable sources, though body size is 8.5-9 cm. (unverified)","Approximately 8.5 to 9 cm (3.3 to 3.5 inches) long, weighing about 8 to 9 grams. (verified)","A tiny bird (8.5–9 cm) with an exceptionally broad, flat bill. It is brownish-olive above and pale yellowish below, with a prominent black-bordered facial pattern and a pale buff-yellow patch above the lores. The crown is dull rufous with a hidden golden center, which is often difficult to see. (verified)","Distributed from Honduras, Nicaragua, Costa Rica, and Panama in Central America to Colombia, Venezuela, Guyana, Suriname, French Guiana, Ecuador, Peru, Bolivia, and Brazil in South America. (verified)","The Golden-crowned Spadebill is a generally uncommon albeit often overlooked species, distributed from Honduras to northwest Ecuador and across the greater part of the Amazon Basin. It has quiet and unobtrusive habits, often singing only around dawn. In Central America, it is found in mixed-species foraging flocks in the forest undergrowth, while in Amazonia it inhabits both seasonally flooded and terra firme forests, ascending to at least 1650 m in some regions. (verified)",Breeding season varies geographically: April to June in Costa Rica; January to April in northwestern South America; and includes August in southeastern South America. (verified)
Common,Olive-striped Flycatcher,Mionectes olivaceus,N/A (verified),The average length of the Olive-streaked Flycatcher is 13 cm (5.1 in). (verified),"The species is approximately 13 cm long. It has a dark olive face with white streaks, a small triangular white spot behind the eye, a dark olive crown and nape, and warm yellow-green upperparts. The wings and tail are dusky olive, and it has dense dark olive and yellowish-white streaking on the throat, upper breast, and flanks, with an unstreaked yellow belly. It has a dark brown iris, a dark brownish-gray or black bill, and dark gray or pinkish legs and feet. (verified)",It is restricted to Costa Rica and western Panama. (verified),"The Olive-streaked Flycatcher (Mionectes olivaceus) is a small, largely frugivorous, and inconspicuous bird that inhabits humid forests of foothills and adjacent lowlands, restricted to Costa Rica and western Panama. It was formerly considered to include the Olive-striped Flycatcher (Mionectes galbinus) as subspecies, but is now recognized as a monotypic species by many authorities, though some classification committees still retain the older taxonomy. It is characterized by its habit of occasionally flicking open one wing at a time. (verified)","The breeding season has not been fully defined, but in Costa Rica, it includes the period from April to July. (verified)"
Common,Ochre-bellied Flycatcher,Mionectes oleagineus,"Specific wingspan measurements are rarely documented; however, based on body size (wing length of approximately 6 cm), the wingspan is estimated to be small, proportional to a bird of 12.5–14 cm in length. (unverified)",The Ochre-bellied Flycatcher is approximately 12.5 to 14 cm (4.9 to 5.5 in) long. (verified),"Principally dull olive green above and over the head, and largely cinnamon buff below, with a variable amount of olive streaking. They have two faint ochre wing bars, a dark brown iris, and a black bill (often with a paler base). Males may exhibit narrowed and pointed outer wing feathers. (verified)","From southern Mexico and Central America south to much of the northern half of South America, with an outlying population in the Atlantic Forest of eastern Brazil. (verified)","For a tyrant-flycatcher, the Ochre-bellied Flycatcher is slightly unusual in being predominantly a frugivore, specializing in mistletoe fruits, although it also consumes insects. Principally dull olive green above and over the head, it is largely cinnamon buff below, with a variable amount of olive streaking. The species occupies a very wide geographic range, from southern Mexico and Central America south to much of the northern half of South America, with an outlying population in the Atlantic Forest of eastern Brazil. As many as 12 subspecies have been described, which differ principally in underparts coloration and wing pattern, although only seven are generally recognized under modern taxonomy. They prefer the lower growth of a wide variety of humid forest habitats, tall second growth and even large gardens, occurring from the lowlands up to at least 1800 m. The species utilizes an 'exploded lek' mating system where males defend small display territories. (verified)","Breeding seasons vary geographically across the wide range of the species and have not been fully defined. In some populations (e.g., Trinidad), the main breeding season is from March to August. (verified)"
Common,Sepia-capped Flycatcher,Leptopogon amaurocephalus,12.5 cm (verified),13 cm to 14 cm (verified),"Large headed, long tailed, upright posture, dark cheek patch with a pale fringe and pale tear-drop. Gray-olive mantle, brownish wing bars, dark brown (sepia) crown, black bill, yellowish underparts faintly streaked with olive. (verified)",Widespread in forest and edge habitats from Mexico south to northern Argentina. (verified),"Sepia-capped Flycatcher is the only lowland representative of the genus Leptopogon and is widespread in forest and edge habitats from Mexico south to northern Argentina. Like other Leptopogon flycatchers, it is a large headed, long tailed flycatcher with a very upright posture. It shares the dark cheek patch with a pale fringe and pale ""tear-drop"" that is characteristic of this genus. Sepia-capped Flycatcher feeds on insects and fruit by hover-gleaning, frequently while associating with mixed flocks. Like others in its genus, it has the peculiar habit of lifting one wing up over its back while sitting on a perch. Its explosive vocalizations could easily belong to a much larger bird than the 14 cm flycatcher. The nest of Sepia-capped Flycatcher is a globular structure of grass, moss, and roots with a side entrance suspended from a root in a bank. (verified)",Breeding season is not broadly defined but includes at least April and May in Mexico. (verified)
Common,Slaty-capped Flycatcher,Leptopogon superciliaris,"Approximately 12.9 cm (5.1 inches); note that BirdFYI data appears to confuse body length with wingspan, as 12.9 cm is typical for total body length, not wingspan for a bird of this size. (contradicted)",Approximately 13 cm in length. (verified),"Olive-green upperparts, distinct gray crown, white face with gray streaks, a prominent dusky auricular (ear) patch, dusky wings with buffy wing bars, yellow edges on flight feathers, gray throat, olive chest, and a yellow belly. (verified)","Found from Costa Rica south through the Andes of Colombia, Venezuela, Ecuador, and Peru to Bolivia, as well as in Trinidad; it inhabits the lower levels of montane forests, typically between 500 and 1,800 meters elevation. (verified)","The Slaty-capped Flycatcher is a small songbird of the tyrant flycatcher family (Tyrannidae) found in montane forests of Central and South America. It is characterized by an olive-green upper body, a gray crown, a white face with gray streaks, a dusky auricular patch, and dusky wings with buffy wing bars. Its throat is gray, transitioning into an olive chest and a pale yellow belly. It is often detected by its sharp, metallic vocalizations. (verified)",Specific mating season data is not widely documented in general species accounts; the species is a resident throughout its range. (unverified)
Uncommon,Yellow-green Tyrannulet,Phylloscartes flavovirens,Information not explicitly available in reviewed literature. (unverified),10 to 11 cm (3.9 to 4.3 in) long; one female weighed 8.8 g (0.31 oz). (verified),"white eyering, two yellowish wing bars, nearly uniform yellow underparts, slender build with a long tail, horizontal posture, grayish white lores, dusky band through eye, olive green upperparts, grayish brown tail with pale olive green edges (verified)","confined to eastern Panama, from the Canal Zone to the Darién; expected in adjacent Colombia, but has yet to be reported from there. (verified)","The Yellow-green Tyrannulet is confined to a tiny range that lies entirely within eastern Panama, from the Canal Zone to the Darién. This species is expected to occur as well in adjacent Colombia, but has yet to be reported from there. This small tyrant flycatcher is most easily distinguished by its white eyering, two yellowish wing bars, its nearly uniform yellow underparts, slender build with a long tail, and horizontal posture. It is mainly recorded between 900 and 2000 m, principally on the Pacific slope of the country. Yellow-green Tyrannulet is uncommon to fairly common, but almost nothing has been published concerning its behavior and ecology. This species is mainly found in the forest canopy, and like other species of Phylloscartes, Yellow-green Tyrannulet is most frequently seen within mixed species foraging flocks. (verified)",Information not available in current scientific literature. (unverified)
Common,Rufous-browed Tyrannulet,Phylloscartes superciliaris,Approximately 10.7 cm (4.2 inches). (verified),"9.5 to 12 cm (3.7 to 4.7 inches) in length, with a body mass typically between 7 and 9 grams. (verified)","The species is small with a gray crown, olive back, and pale yellow belly. Key identifying features include a thin rufous supercilium (eyebrow), a white cheek area outlined with a black border, and a small white spot at the base of the black bill. (verified)","The species occurs in Central America (Costa Rica and Panama) and disjunctly in South America (northwest Venezuela, Colombia, eastern Ecuador, and northern Peru). (verified)","The Rufous-browed Tyrannulet is the sole member of the genus Phylloscartes found in Central America, ranging from Costa Rica to Panama; it also occurs disjunctly in South America, from northwest Venezuela through the east slope of the Andes in Colombia to southeast Ecuador and northern Peru. This canopy-dwelling species prefers humid and wet montane evergreen forests between 500-2200 m, where it typically joins mixed-species flocks to feed on insects and small fruits. It is a small, nondescript flycatcher with a gray crown, olive back, pale yellow belly, and a distinctive thin rufous mark above the eye. Breeding ecology remains largely unstudied. (verified)",Nothing concrete is known concerning the Rufous-browed Tyrannulet's breeding ecology. (verified)
Uncommon,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni,"Not specifically documented in standard species accounts, though inferred from overall size of 11-11.5 cm. (unverified)","Approximately 11 to 11.5 cm (4.3 to 4.5 inches) long, weighing 9 to 11 g. (verified)","Tiny, rotund flycatcher approximately 11–11.5 cm long. Dark olive-brown above with blackish wings, pale olive underparts, and a creamy-white throat. Belly and undertail coverts are creamy yellow. (verified)","Mountains from eastern Panama, through Colombia and Ecuador, south to Peru. (verified)","The Bronze-olive Pygmy-Tyrant is a tiny songbird of Andean forests found in mountains from Panama and Colombia south to Peru. It is a small, rotund flycatcher, dark olive above with blackish wings and paler olive underparts with a dull whitish throat and yellowish belly. This species prefers undergrowth and forest edge at elevations from 600 to 2,500 meters. Often found foraging singly, it can be detected by the whirring sound its wings make during short hover-gleaning foraging bouts. (verified)",Limited information available; breeding has been documented in December (Ecuador) and breeding-condition males have been observed in May (Colombia). (verified)
